User_ID,Place,Score,Imagepath,Evaluation,Link
qgj,天津方特欢乐世界,4.8,https://dimg04.c-ctrip.com/images/1lo3612000b6xzara8F32_C_220_140.jpg,"
                        M28****2398点评：推荐项目海盗船孩子放暑假了来天津方特欢乐世界放松一下，里面有很多好玩的项目最喜欢的还是高空飞翔连着刷了三遍推荐大家体验一下
                    ",https://you.ctrip.com/sight/tianjin154/1411705.html
qgj,天际100香港观景台,4.7,https://dimg04.c-ctrip.com/images/0103m120008hd0zgc7646_C_220_140.jpg,"
                        匿名用户点评：香港天际100是一处极具吸引力的旅游景点，它为游客提供了一个独特的视角来欣赏香港的壮丽景色。位于全港最高建筑物环球贸易广场(ICC)的100楼，这里的高度足以让你感受到香港这座城市的无限魅力。从天际100观景台，你可以鸟瞰维多利亚港以及九龙半岛的全貌，远处的澳门天际线也若隐若现，与香港的繁华交相辉映。无论是在白天还是夜晚，这里的景色都令人震撼，令人留连忘返。除了欣赏美景之外，天际100还提供了一些有趣的设施和活动。例如，你可以在观景台上的咖啡厅品尝美食，购买纪念品，或者参加一些特别的活动。此外，这里还有一处全港最高的户外露台，让你有机会在云端漫步，感受香港的独特魅力。然而，需要注意的是，由于天气变化无常，如果遇到恶劣天气，建议不要前往。否则，你可能会错过这个美丽的景色。总之，如果你想体验一次与众不同的香港之旅，香港天际100绝对是一个值得一游的地方。在这里，你可以感受到香港这座城市的繁华与活力，也可以享受到令人震撼的美景。
                    ",https://you.ctrip.com/sight/hongkong38/107617.html
qgj,原气喜剧脱口秀酒吧剧场(解放碑...,4.9,https://dimg04.c-ctrip.com/images/01004120008qy8a51EA24_C_220_140.png,"
                        _WeCh****88708点评：演出地点还算好找。演员都很卖力，不过段子的内容和水准还有待提高。那个串场主持还不错，还挺松弛、幽默的，活跃了不少场内的气氛。
                    ",https://you.ctrip.com/sight/chongqing158/125612735.html
qgj,重庆热雪奇迹,4.8,https://dimg04.c-ctrip.com/images/0105512000achct3e1B0C_C_220_140.jpg,"
                        M52****4591点评：对于喜欢滑雪的人来说，重庆热雪奇迹肯定是要去打卡的地方。这边离微电园很近，交通比较方便。周末节假日人还比较多，喜欢滑雪的人要趁早哟！里面玩耍的娱乐项目也很多，有那个飞船，希望来的朋友都去体验下！工作人员服务态度也很好，里面滑雪的装备也比较齐全。
                    ",https://you.ctrip.com/sight/chongqing158/5710329.html
qgj,梵高星空艺术馆,3.9,https://dimg04.c-ctrip.com/images/0102g1200049f546yAC78_C_220_140.jpg,"
                        M49****9307点评：一点也不好玩去过的都是大冤种里面就没有什么好玩的地方拍的那个吊灯也很廉价
                    ",https://you.ctrip.com/sight/nanjing9/5382359.html
qgj,台北故宫博物院,4.7,https://dimg04.c-ctrip.com/images/fd/tg/g4/M01/72/7D/CggYHFY7F7iAF6-bAAtq3wFHDJY069_C_220_140.jpg,"
                        爱生活的女汉子点评：环境优美，展品丰富目不暇接，使人留连忘返，工作人员温柔不燥，热水也有，要是休息区能吃点东西补充体力就更赞。门票也不便宜，几天内给顾客二次参观不要太棒
                    ",https://you.ctrip.com/sight/taipei360/19884.html
qgj,重庆动物园,4.7,https://dimg04.c-ctrip.com/images/350f1800000150xhi18F8_C_220_140.jpg,"
                        匿名用户点评：重庆动物园里面很多动物，熊猫也多哦，25看23只熊猫不要太值了，重庆动物园里面很多动物，熊猫也多哦，25看23只熊猫不要太值了，重庆动物园里面很多动物，熊猫也多哦，25看23只熊猫不要太值了，
                    ",https://you.ctrip.com/sight/chongqing158/10377.html
qgj,816工程景区,4.7,https://dimg04.c-ctrip.com/images/010171200097v5h8l5377_C_220_140.png,"
                        触手梨花点评：这是在一定时期内空前绝后的工程。踏进山洞，我想起了《魔戒》里的矮人宫殿，但这如矮人宫殿般宏伟的洞穴只是它的冰山一角而已。即便是《魔戒》这部虚构作品，都想象不出如此令人震撼的工程。这是一个时代的奇迹。它带给人的震撼远不止如此。很多人震撼的只是工程本身，但事实上，更令人震撼的是那个决定。很多人说，816工程精神可嘉，但这件事本身来源于对形势过于严重的估计，并没有起到什么实际的作用嘛！浪费了多少人力物力，消耗了多少人的青春？最后果然没建完就被废弃了吧？这些人，不懂得最简单的道理。只要了解一下当时的国际形势便知，在当时的形势下作出那样的决定是情理之中的事情。换言之，正是做出了那样的判断，那样的决定，才避免了我们无法承受的、最坏的结局。“善战者无赫赫之功”。这句话用来形容以816工程为代表的三线建设，恰如其分。面对人间奇迹，我们不能简单地沉浸在震撼和惊叹之中，沉浸在情感的冲动之中，也不必讳言最初建设它的动机。它的意义有必要被反复强调，以免消解在时间的长河里。它不是无意义的工程，他们不是无谓的牺牲。感谢那些可爱的人，以血肉之躯铸就了我们幸福生活的阶梯。
                    ",https://you.ctrip.com/sight/chongqing158/76501.html
qgj,梵高星空艺术馆,3.1,https://dimg04.c-ctrip.com/images/01A2r120008etvbvtBA92_C_220_140.jpg,"
                        棒棒哒小伙点评：有这两钱买个大鸡腿吃不香么
                    ",https://you.ctrip.com/sight/xiamen21/106712343.html
qgj,梵高星空艺术馆,4.6,https://dimg04.c-ctrip.com/images/10011f000001h391c6446_C_220_140.jpg,"
                        拿破仑的猪点评：无聊，消费梵高的网红聚集地，山寨灯光秀，跟梵高毫无关系，相信他老人家也不会相信在百年之后的东方神秘国家会来用这种手段来糟蹋他老人家
                    ",https://you.ctrip.com/sight/suzhou11/5237377.html
